"id","quote","review"
"rn609363692","Good salad and very nice pizza","I had the pear salad and my partner the diavolo pizza, they were both very nice and also the service was fast and good. Very kind waiters."
"rn605793353","Ok food good service","Went here with a friend for dinner. The menu is somewhat limited. I got a Caprese Salad to start. It was ok. Tomatoes weren’t the greatest mozzarella was ok.
My friend got cannelloni which was ok nothing to write home about. I got a meat...More"
"rn603559230","Amazing coal oven pizza!","We had an amazing pizza dinner here, with a nice selection of entry level wines. They have a family style pizza and can get multiple types of toppings - separated into 3 sections. It was a little tight for space but we managed to get...More"
"rn602785793","W la pizza italiana e Caterina!","Honestly, one of my best place to eat pizza in NYC is PIZZERIA NUMERO 28!
It’s so delicious! I feel in Italy, lol :)
I tried the pizza called NUMERO 28 and.... ehm can I have one more to go????
Grazie Caterina, you are very...More"
"rn601941006","Lovely pizza","Nice pizza place in the Village. I loved their pizza and the salads. Friendly service and nice location"
"rn598693858","Great pizza","I am Neapolitan and I am very picky with food and costumer service. The food was excellent and there was this beautiful and friendly waitress Katerina that welcomed me and my guests in an amazing way. Highly recommend the pizza.. love the atmosphere and the...More"
"rn596676732","Weekend trip","Weekend getaway with the Mrs and we always make it a point to stop by Pizzeria No. 28. I love their pizza, wood burning oven, always cooked to perfection. We also almost always get Nonna Eugenia's Rigatoni and Meatballs dish, cooked 'al dente', I have...More"
"rn594531013","Very very close to Napoli","This is truly one of the best Italian restaurants in Nyc.The pizza is amazing and the closest we have had to authentic pizza from Naples.The pasta is delicious as well."
"rn592844054","Authentic reasonable atmospheric Italian ","We went here on our last night of a 3 day family trip to celebrate my husband’s 60th. We’d eaten well but very expensively the first 2 nights without much atmosphere so I really wanted this to be good. It was. The food was very...More"
"rn592032805","Great food","I went for dinner on Saturday night with few friends. We ordered fried calamari and 29 pizza with 3 different toppings. Everything was amazing! One of the best pizza in NYC. Our waitress Caterina was so nice and she accommodated us in everything! Highly recommend...More"
"rn587877157","Good Authentic Pizza","Had the meatballs and then a Diavola pizza. The crust was ideal. The sauce and toppings were good and pretty traditional, but I wouldn't say the most flavourful. The restaurant was pretty quiet when we were there a little before 6 on a weekday."
"rn587733048","Always great Roman style pizza.","Food is great. Love the Delicata pizza. Cacio e pepe special pasta was awesome. Cute place. Nothing fancy. Fabricio was a great waiter. Have been before. Will be back. Cash <f0><U+009F><U+0092><U+00B0> only!"
"rn587730472","Best pizza in NYC! Authentic Italian Pizza","Amazing pizza ordered by the inch. Super delicious, authentic Italian pizza. Loud, crowded and cash only with crazy Italian staff -- I think part of the charm!! <f0><U+009F><U+0098><U+0081><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D><f0><U+009F><U+0091><U+008D>"
"rn586886014","Great time","Excellent. Visiting with old friends. Like being in Italy. Authentic Naples pizza. You can taste the freshness in every bite Fun atmosphere. Cash only"
"rn586248634","Best Pizza!!!","Stumbled upon this restaurant while on a walking tour of NYC. We hit the jackpot! This brick oven pizza was incredible. They were able to modify our pizza to fit each of our preferences. Honestly the best pizza we have ever had! The calamari was...More"
"rn586073876","Amazing pizza","One of the best pizza that I ever had!!
At this point I can say that I tried almost all of them. They have a lot of selection and allow you to modify the pizza so everybody can enjoy it and be happy. Furthermore if...More"
"rn585597622","Just a fabulous pizza","This is simply one of the best pizza places I have ever been to, and certainly by far the best pizza outside of Italy. And yes, their espresso is also authentic Italian. Outstanding!"
"rn582502569","Excellent Pizza","The coal-fired pizza was very good. Great ingredients - roasted peppers, sausage and pepperoni. Sat outside on a glorious day in the city. You won't be disappointed."
"rn581320675","Best pizza in NYC by far","I have been living in NYC for 10 years, and 28 is the only pizza truly worth eating. Amazing quality and great service (almost impossible to get in the greater NY area).
Mrs Eugenia manages this place wonderfully and with the typical Italian touch that...More"
"rn579286875","Very good consistent pizza run by competent management.","I came to Numero 28 Pizza after throwing away an inedible slice of pizza from Bleecker Street Pizza nearby. Though they don't serve slices, their regular cheese pie is so good you'll eat the whole pie in one sitting -- wow! I wish I knew...More"
"rn575411237","Nice Atmosphere","This place was great, the waitresses were really attentive and friendly. The food was fabulous and walking through the East Village to get here was really cool. We had the Margherita and the Diavola and they were both really good."
"rn573257438","Loved it so much went here twice ! ","We stayed in NYC for 12 days and tried several Italians however this was the best by far so we came here twice. Both times service was very attentive and friendly. Pizzas were outstanding - my daughter loved the “white” pizzas as she hates tomato...More"
"rn572319362","Great ambience, really fab affordable food","Dined here with three teens on week-long trip to NY from England. All five of us loved our mains and we had a great relaxing meal in what feels like a genuine, neighbourhood Italian. Good efficient service, great soundtrack and decor - and genuine pizza...More"
