"id","quote","review"
"rn610243461","The best pizza ","We stayed at 1 Brooklyn hotel so this was round the corner. Having heard good things and seen the daily queue out the door we headed there for lunch. We went for opening so didn’t wait long and ordered a large half and half between...More"
"rn610159741","Deserves it's reputation","We arrived just after they reopened for the afternoon. There was a queue outside which was soon organised into tables. A nice touch was the iced water available for when you are waiting. Once in the restaurant the service was very good, we had a...More"
"rn609811380","Deilig pizza","Best pizza in town. We stood in line for 30 minutes and got a good table in the middel of the restaurant. The boys had pizza and I had spaghetti. It tasted great. We waited for 15 to 20 min before they served the food....More"
"rn609698318","Truly Italian","If you like Italian cuisine, this place is a must go for you. The smell of extra virgin olive oil, nicely prepared food and friendly staff. Mama Mia, delicious."
"rn609239715","Worth the wait.","Stumbled across this restaurant whilst walking past. Had to wait a little while, maybe 20 minutes out the front but they offer patrons free cold water whilst you wait which was appreciated. Menu isn’t all that large which makes selecting items easy. Pizzas are very...More"
"rn608854214","WOW !!","Read the reviews on here which made me decide to get the ferry over from manhattan before we walked back over the Brooklyn bridge, which is also great to do.
Waited about 30 mins which I expected then when inside the nicest pizza ever and...More"
"rn608790163","Worth the wait","Had to wait about 20 minutes to be seated. Well worth the wait - staff were friendly and food was delicious."
"rn608208722","Scrumptious! ","I highly recommend the coal oven pizza at Juliana’s. I heard that the owner left Grimaldi’s Pizza to start her own pizza business NEXT DOOR. I love the White Pizza. It’s garlicky and delicious. I also liked the simple tomato and cheese pizza as well!...More"
"rn607977505","Best pizza outside of Venice","I’m not much of a pizza eater and my best memory of pizza was in Venice but this came extremely close. It was a hot day and we joined the crowd but only had to wait around 25 minutes before we were shown a table...More"
"rn607760595","Best pizza and service, don’t miss it","Visited around noon after walking across the Brooklyn Bridge. Waited 5-10 minutes for a table. Blissfully cool inside, friendly staff. Waited about 15 minutes for a wonderfully delicious margherita pizza with meatballs. Split a regular size at $20 between two and it was perfect. Brooklyn...More"
"rn607723812","Yes. It is really good ! ","Aside with long waiting time this place has definitely one of the best pizzas in town. Highly recommended"
"rn607563281","Great pizza","Loved visiting Juliana's. Great pizza and memories of New York. Hope to return one day in the near future."
"rn606632018","Great Pizza!","This place is my idea of authentic New York pizza. Thin crust, high quality ingredients and just the right amount of toppings. Very well done. The margarita pizza is outstanding and the meatballs were great as well. A little wait to get in but well...More"
"rn606554307","Had to wait for so long...","Came here for the famous Grimaldi's pizza and was satisfied by the quality and taste of it.
Pizza was well baked and toppings were very fresh.
We had two large pizza and they were enough for a group of 5.
While food itself was wonderful,...More"
"rn606541906","Best Pizza I’ve ever tasted","We finally joined the queue to see what all the fuss was about and it was worth the wait. It was the most delicious pizza I’ve ever tasted."
"rn606169447","Great lunch","We went here after a long walk and enjoyed a pizza and a beer. Just what we needed. We had to queue but the line moved quickly and was well organised, Well worth a visit."
"rn605913973","Best Pizza ever!","This was the best Pizza I have ever had! Don’t let the queue for a table discourage you because it is well worth the wait. Alternatively get take-out and go eat it in the park. Either way just make sure you try it!"
"rn605359452","Great BK pizza!","The pizza at Julianna’s in certainly worth the wait. Being my second visit, I knew that we’d need to wait for a table however we were seated within 20 minutes.
This famous Brooklyn pizza institution is popular for good reason. Fresh ingredients, prompt service and...More"
"rn604297187","Fantastic NY Style Pizza in Brooklyn- No One Else Compares!","We stopped for some pizza after walking the Brooklyn Bridge, and at 12:30 PM there was already a line out the door. We waited maybe 10 minutes. Once we were seated we ordered a large white pizza with bell peppers and pepperoni. It was absolutely...More"
"rn604121660","What can I say","You can not leave New York without trying this place. I have traveled the world and apart from Naples this would have to be the best pizza I have had for a long time.
But get there early as you might have to line up...More"
"rn604016815","Dinner with family","Went to dinner with family. There were six of us with big appetites. The place is not big and its very busy and understandable so. Every pizza we ordered was excellent."
"rn603895060","Great pizza","Very good marguerita pizza, with olives and pepperoni. Waited 40 minutes in the line but it was worth it."
"rn603637043","Delicious!","Great pizza! Lines were long but we decided to order one to go and enjoyed it with the view! Will be back!!"
"rn603101570","I'm ruined for pizza after this","Definitely worth the wait in line. This was the BEST pizza I have ever eaten. It's small and crowded inside but that's how they fit in more people. I even came back here a second time during my trip to NY. I'm pretty sure there...More"
"rn602986869","Walked over the Brooklyn Bridge for Great Pizza","Owned by The Grimaldi’s I would highly suggest having Pizza here! We arrived before opening and waited in line.... you know when the “Locals” are waiting line for food that is is incredible! And... we were not disappointed!!!! I highly recommend waiting for the great...More"
"rn600481580","Great pizza!","After waiting in line for 15 minutes we were seated inside at our table for 2. The pizza we ordered was delicious and the home made lemonade too!"
"rn600229992","Visiting Domino Park","We were visiting Domino park when my daughter and her friends got hungry. We stopped by Juliana's Pizza to eat. We enjoyed the pizza and the service was pleasant.
When we are around the neighborhood again, we will definitely come back."
"rn600025117","That’s Amore","This is the original building owned by the original owner of Grimaldi's. When he sold the restaurant to his partner years ago he never imagined that his partner would buy the building next door for more space. It’s a beautiful story where he gets to...More"
"rn599626318","Great little Pizza Place!","When people talk about New York thin crust pizza this is the place they are talking about. Ask 10 New Yorkers where the best pizza is and you’ll get 12 answers. It’s all based on personal taste and where they grew up. This place was...More"
"rn598440070","Good but not Outstanding","After completing a 3 hour walking tour of the Brooklyn Bridge and Brooklyn Heights we asked for a great pizza place.
There was a small que at Julianas but we got seated quickly. Looking around the pizzas looked amazing.
We ordered a margarita with pepperoni...More"
"rn597670827","Best Pizza in NYC!","There was a large group of us that wanted to try this pizza. We researched a few places and decided to try Juliana's. BEST DECISION EVER! Not only were the staff members amazing and super friendly, the food was some of the best I've ever...More"
"rn597495360","This is the best pizza I have ever had!","We had been told by friends that this was the best pizza we would ever had and they were right. We had been looking forward to eating here the whole trip and it was SO worth it. We ordered two pizzas for our family, one...More"
"rn597474068","Pretty Good","Good pizza but not great for the price. A family of four, we spent over $100 for two large pizzas, drinks, and a salad. Service was very good, and the wait line moved fairly quick. I am curious if Grimaldis is any better on the...More"
"rn597309975","best in pizza in NYC","well worth the trip over.
walk over the brooklyn bridge and then head here for Pizza,
the pizza is amazing... if their is a line... order the pizza to go, and walk down to the rive and the little light house and have a picnic."
"rn597167471","Good pizza but not worth the trouble","We arrived on July 7th around 7 and people were lined up down the street. We actually made it in the door at 8:50 and were really hungry. The gentleman seating people told us we could have the corner table that just opened but we...More"
"rn596451579","Outstanding food with superior service!","My wife and I are from Houston Texas, and are major fans of Grimaldi's pizza. The former owner and founder of Grimaldi's now owns and operates Julieanna's pizza. We found him actually sitting people at tables roaming around and talking with customers. He was extremely...More"
